athlete_name
Muhammad Ali
Don Bradman
Michael Jordan
Tiger Woods
Diego Maradona
Rod Laver
Pele
Roger Federer
Carl Lewis
Lance Armstrong
Michael Phelps
Ayrton Senna
Emil Zatopek
Jack Nicklaus
Sugar Ray Robinson
Babe Ruth
Billie-Jean King
Shane Warne
Jesse Owens
Alfredo di Stefano
Eddy Merckx
Paavo Nurmi
Jim Thorpe
Bjorn Borg
Jim Brown
Michael Schumacher
Pete Sampras
Mick Doohan
Mike Tyson
Jerry Rice
Martina Navratilova
Colin Meads
Valentino Rossi
Kelly Slater
Bobby Jones
Nadia Comaneci
Haile Gebrselassie
Ty Cobb
Joe Louis
Leigh Matthews
Garfield Sobers
Michael Johnson
Mark Spitz
Johan Cruyff
Viv Richards
David Campese
Steve Redgrave
Wayne Gretzky
Hicham El Guerrouj
Zico
Herb Elliott
Jackie Joyner-Kersee
Juan Manuel Fangio
Joe Frazier
Miguel Indurain
Joe Montana
Wilt Chamberlain
Edwin Moses
Wayne Carey
Daley Thompson
Wally Lewis
Jahangir Khan
Mickey Mantle
Arnold Schwarzenegger
Rafael Nadal
Sachin Tendulkar
Arnold Palmer
Johnny Raper
Jean-Claude Killy
Gary Ablett Snr
Babe Zaharias
John McEnroe
Willie Shoemaker
Steffi Graf
Bo Jackson
Zinedine Zidane
Kareem Abdul-Jabbar
Greg Norman
Fanny Blankers-Koen
Jackie Robinson
Usain Bolt
Ian Botham
Serge Blanco
Dawn Fraser
Ted Whitten
George Best
Sergey Bubka
Janet Evans
Shirley Strickland
Brian Lara
Roger Bannister
Adam Gilchrist
Shaun White
Alexander Popov
Heather McKay
Jonah Lomu
Chris Evert
Annika Sorenstam
Ian Thorpe
Andrew Johns
