athlete,origin
Muhammad Ali,U.S.
Don Bradman,Australia
Michael Jordan,U.S.
Tiger Woods,U.S.
Diego Maradona,Argentina
Rod Laver,Australia
Pele,Brazil
Roger Federer,Switzerland
Carl Lewis,U.S.
Lance Armstrong,U.S.
Michael Phelps,U.S.
Ayrton Senna,Brazil
Emil Zatopek,Czechoslovakia
Jack Nicklaus,U.S.
Sugar Ray Robinson,U.S.
Babe Ruth,U.S.
Billie-Jean King,U.S.
Shane Warne,Australia
Jesse Owens,U.S.
Alfredo di Stefano,Argentina
Eddy Merckx,Belgium
Paavo Nurmi,Grand Duchy of Finland
Jim Thorpe,U.S.
Bjorn Borg,Sweden
Jim Brown,U.S.
Michael Schumacher,West Germany
Pete Sampras,U.S.
Mick Doohan,Australia
Mike Tyson,U.S.
Jerry Rice,U.S.
Martina Navratilova,Czechoslovakia
Colin Meads,New Zealand
Valentino Rossi,Italy
Kelly Slater,U.S.
Nadia Comaneci,Romanian PR
Haile Gebrselassie,Ethiopian Empire
Ty Cobb,U.S.
Joe Louis,U.S.
Leigh Matthews,Victoria
Garfield Sobers,Colony of Barbados
Mark Spitz,U.S.
Johan Cruyff,Netherlands
Viv Richards,British Leeward Islands
David Campese,Australia
Steve Redgrave,England
Wayne Gretzky,Canada
Hicham El Guerrouj,Morocco
Herb Elliott,Australia
Jackie Joyner-Kersee,U.S.
Juan Manuel Fangio,Argentina
Joe Frazier,U.S.
Miguel Indurain,Spain
Joe Montana,U.S.
Wilt Chamberlain,U.S.
Edwin Moses,U.S.
Wayne Carey,Australia
Daley Thompson,England
Wally Lewis,Australia
Jahangir Khan,Pakistan
Mickey Mantle,U.S.
Arnold Schwarzenegger,Austria
Rafael Nadal,Spain
Sachin Tendulkar,India
Arnold Palmer,U.S.
Johnny Raper,Australia
Jean-Claude Killy,France
Gary Ablett Snr,Victoria
Babe Zaharias,U.S.
John McEnroe,West Germany
Willie Shoemaker,U.S.
Steffi Graf,West Germany
Bo Jackson,U.S.
Zinedine Zidane,France
Kareem Abdul-Jabbar,U.S.
Greg Norman,Australia
Fanny Blankers-Koen,Netherlands
Jackie Robinson,U.S.
Usain Bolt,Jamaica
Ian Botham,England
Serge Blanco,Venezuela
Dawn Fraser,Australia
Ted Whitten,Victoria
George Best,Northern Ireland
Sergey Bubka,Soviet Union
Janet Evans,U.S.
Shirley Strickland,Western Australia
Brian Lara,Trinidad and Tobago
Roger Bannister,England
Adam Gilchrist,Australia
Shaun White,U.S.
Heather McKay,New South Wales
Jonah Lomu,New Zealand
Chris Evert,U.S.
Annika Sorenstam,Sweden
Ian Thorpe,Australia
Andrew Johns,Australia
